Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/11/2025,12/12/2025,FSP*STEEL HANDS BREWING C,Food & Drink,Sale,-53.50,
12/11/2025,12/12/2025,CIRCLE K # 23369,Gas,Sale,-33.07,
12/08/2025,12/09/2025,CVS/PHARMACY #00830,Health & Wellness,Sale,-26.01,
12/07/2025,12/08/2025,WEB*IPAGE,Bills & Utilities,Sale,-25.99,
12/05/2025,12/07/2025,PUBLIX #1095,Groceries,Sale,-10.38,
12/06/2025,12/07/2025,LS GREENS BEVERAGES,Shopping,Sale,-23.20,
12/04/2025,12/05/2025,WP*WORDPRESS YL0874V1Z,Bills & Utilities,Sale,-544.32,
12/03/2025,12/04/2025,WWW.SUPREME.COM,Shopping,Sale,-124.24,
12/03/2025,12/04/2025,CODETWO,Shopping,Sale,-14.69,
12/02/2025,12/03/2025,SQ *CAROLINA BARBER SHOP,Personal,Sale,-32.50,
12/02/2025,12/03/2025,SP SHOPCOOKINGWITHKARL,Shopping,Sale,-46.95,
12/02/2025,12/03/2025,PUBLIX #1095,Groceries,Sale,-65.92,
12/01/2025,12/03/2025,GOOGLE *CLOUD SF9FGV,Shopping,Sale,-0.34,
12/01/2025,12/03/2025,SUPABASE,Shopping,Sale,-34.35,
12/01/2025,12/03/2025,EXXON 7-ELEVEN 35568,Gas,Sale,-34.20,
12/01/2025,12/01/2025,Payment Thank You-Mobile,,Payment,1144.07,
12/01/2025,12/01/2025,DIGITALOCEAN.COM,Shopping,Sale,-58.76,
11/30/2025,12/01/2025,PUBLIX #1095,Groceries,Sale,-11.32,
11/29/2025,12/01/2025,GRUBHUB - UNIVERSITY OF S,Food & Drink,Sale,-9.00,
11/28/2025,11/30/2025,BURGER KING #20485,Food & Drink,Sale,-10.67,
11/29/2025,11/30/2025,HIBACHI HOUSE,Food & Drink,Sale,-18.13,
11/29/2025,11/30/2025,LS GREENS BEVERAGES,Shopping,Sale,-10.79,
11/28/2025,11/30/2025,WINGSTOP 4044,Food & Drink,Sale,-13.17,
11/28/2025,11/30/2025,BUC-EE'S #0069,Groceries,Sale,-9.49,
11/27/2025,11/28/2025,TIN CUP SOCIAL,Food & Drink,Sale,-14.50,
11/27/2025,11/28/2025,TIN CUP SOCIAL,Food & Drink,Sale,-6.25,
11/26/2025,11/27/2025,SUNOCO 0815956800,Gas,Sale,-27.17,
11/25/2025,11/27/2025,FAIRPORT VILLAGE MARKET A,Groceries,Sale,-6.18,
11/25/2025,11/26/2025,WEGMANS #063,Groceries,Sale,-20.24,
11/23/2025,11/24/2025,WEGMANS #062,Groceries,Sale,-15.11,
11/23/2025,11/24/2025,TARGET        00011957,Shopping,Sale,-14.03,
11/23/2025,11/24/2025,VERIFYVEND855-5539974,Shopping,Sale,-88.80,
11/21/2025,11/23/2025,SUBWAY 39327,Food & Drink,Sale,-16.31,
11/21/2025,11/23/2025,SPEEDWAY 44934,Gas,Sale,-30.07,
11/20/2025,11/21/2025,PUBLIX #1095,Groceries,Sale,-4.17,
11/19/2025,11/21/2025,MOTEL 6 ATLANTA,Travel,Return,50.00,
11/19/2025,11/20/2025,76 - M &amp; A MART &amp; GAS,Gas,Sale,-27.35,
11/19/2025,11/20/2025,AIRGARAGE* PARKING,Travel,Sale,-8.00,
11/19/2025,11/20/2025,PUBLIX #1095,Groceries,Sale,-25.88,
11/19/2025,11/20/2025,WAFFLE HOUSE 1996,Food & Drink,Sale,-14.50,
11/18/2025,11/19/2025,ROMAN DELIGHT PIZZA -,Food & Drink,Sale,-16.63,
11/17/2025,11/19/2025,CHICK-FIL-A #00238,Food & Drink,Sale,-10.51,
11/17/2025,11/18/2025,CVS/PHARMACY #10043,Health & Wellness,Sale,-20.68,
11/15/2025,11/17/2025,MOTEL 6 ATLANTA,Travel,Sale,-60.00,
11/17/2025,11/17/2025,PlayStation Network,Entertainment,Sale,-10.79,
11/15/2025,11/17/2025,MOTEL 6 ATLANTA,Travel,Sale,-50.00,
11/16/2025,11/17/2025,TJ'S SANDWICHES PEACHTRE,Food & Drink,Sale,-15.64,
11/15/2025,11/17/2025,MOTEL 6 ATLANTA,Travel,Sale,-410.88,
11/15/2025,11/16/2025,BULL GOGI.,Food & Drink,Sale,-11.97,
11/15/2025,11/16/2025,10578 CAVA ATLANTA GA,Food & Drink,Sale,-16.17,
11/14/2025,11/16/2025,EXXON PALMETTO ROADS #,Gas,Sale,-18.68,
11/14/2025,11/16/2025,EXXON PALMETTO ROADS #,Gas,Sale,-8.45,
11/15/2025,11/16/2025,AIRGARAGE PARKING,Travel,Sale,-29.50,
11/13/2025,11/14/2025,GITHUB  INC.,Professional Services,Sale,-49.42,
11/13/2025,11/14/2025,SEATGEEK TICKETS,Entertainment,Sale,-83.94,
11/13/2025,11/13/2025,Payment Thank You-Mobile,,Payment,602.89,
11/10/2025,11/11/2025,CVS/PHARMACY #00830,Health & Wellness,Sale,-15.33,
11/09/2025,11/11/2025,MAHA BAZAR,Groceries,Sale,-10.97,
11/09/2025,11/10/2025,PlayStation Network,Entertainment,Sale,-21.59,
11/08/2025,11/09/2025,PUBLIX #1095,Groceries,Sale,-102.32,
11/04/2025,11/06/2025,FRESHE POKE HUGER,Food & Drink,Sale,-16.85,
11/04/2025,11/05/2025,Payment Thank You-Mobile,,Payment,771.00,
11/05/2025,11/05/2025,MICROSOFT#G121812842,Shopping,Sale,-384.55,
11/03/2025,11/05/2025,SHELL OIL 57543782007,Gas,Sale,-36.59,
