Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/18/2025,05/20/2025,RIVERDOGS CBC CONCESSI,Food & Drink,Sale,-18.59,
05/17/2025,05/19/2025,PUBLIX #1095,Groceries,Sale,-43.43,
05/18/2025,05/18/2025,SEATGEEK TICKETS,Entertainment,Sale,-60.18,
05/16/2025,05/18/2025,EXXON PALMETTO ROADS #,Gas,Sale,-7.22,
05/17/2025,05/18/2025,MIDAS 5254 AUTO &amp; TIRE,Automotive,Sale,-107.77,
05/17/2025,05/18/2025,TST*CRAZY WINGS - LINCOL,Food & Drink,Sale,-42.77,
05/14/2025,05/16/2025,TST*JAKES ON DEVINE,Food & Drink,Sale,-6.30,
05/14/2025,05/16/2025,TACOS NAYARIT - KNOX A,Food & Drink,Sale,-24.75,
05/15/2025,05/16/2025,PALMETTO PIG,Food & Drink,Sale,-12.36,
05/15/2025,05/15/2025,SP PROJECT OROCHI,Shopping,Sale,-32.00,
05/14/2025,05/15/2025,City of Columbia  SC,Travel,Sale,-1.90,
05/13/2025,05/15/2025,CK *OAK HILLS GOLF CLU,Entertainment,Sale,-19.18,
05/13/2025,05/15/2025,CK *OAK HILLS GOLF CLU,Entertainment,Sale,-9.00,
05/09/2025,05/12/2025,BAR NONE,Food & Drink,Sale,-8.00,
05/11/2025,05/12/2025,SQ *200 STATE,Travel,Sale,-9.25,
05/09/2025,05/12/2025,BAR NONE,Food & Drink,Sale,-16.00,
05/11/2025,05/12/2025,CAFE STRUDEL - WC,Food & Drink,Sale,-78.77,
05/09/2025,05/11/2025,SP SHIRTINABOX-US,Shopping,Sale,-72.49,
05/08/2025,05/11/2025,TST*JAKES ON DEVINE,Food & Drink,Sale,-12.80,
05/08/2025,05/11/2025,TST*JAKES ON DEVINE,Food & Drink,Sale,-6.40,
05/07/2025,05/09/2025,NORTHWOODS GOLF CLUB,Entertainment,Sale,-7.50,
05/07/2025,05/09/2025,NORTHWOODS GOLF CLUB,Entertainment,Sale,-30.00,
05/06/2025,05/07/2025,PUBLIX #1095,Groceries,Sale,-54.23,
05/07/2025,05/07/2025,TST* THE SALTY NUT CAFE,Food & Drink,Sale,-18.00,
05/05/2025,05/06/2025,SUNOCO 0728799800,Gas,Sale,-36.70,
05/04/2025,05/06/2025,PY *ANOTHER BROKEN EGG 11,Food & Drink,Sale,-22.32,
05/03/2025,05/05/2025,CB18,Food & Drink,Sale,-16.18,
05/04/2025,05/05/2025,CANTINA 76 MAIN ST,Food & Drink,Sale,-43.28,
05/01/2025,05/04/2025,CB18,Food & Drink,Sale,-17.38,
05/03/2025,05/04/2025,CK *OAK HILLS GOLF CLU,Entertainment,Sale,-7.00,
05/02/2025,05/04/2025,CK *OAK HILLS GOLF CLU,Entertainment,Sale,-43.00,
05/01/2025,05/04/2025,CB18,Food & Drink,Sale,-10.00,
05/02/2025,05/02/2025,HELP.MAX.COM,Entertainment,Sale,-9.99,
05/01/2025,05/01/2025,Payment Thank You-Mobile,,Payment,749.44,
04/30/2025,05/01/2025,CVS/PHARMACY #00830,Health & Wellness,Sale,-15.97,
04/30/2025,05/01/2025,SQ *CAROLINA BARBER SHOP,Personal,Sale,-31.25,
04/30/2025,05/01/2025,City of Columbia  SC,Travel,Sale,-1.90,
04/29/2025,04/30/2025,PAR TEE GOLF INC,Entertainment,Sale,-10.00,
04/30/2025,04/30/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.60,
04/29/2025,04/30/2025,PUBLIX #1095,Groceries,Sale,-66.85,
04/28/2025,04/29/2025,SUNOCO 0728799800,Gas,Sale,-26.99,
04/26/2025,04/28/2025,FIVE GUYS SC 0140 QSR,Food & Drink,Sale,-37.35,
04/27/2025,04/28/2025,GLF*SANTEENATIONAL,Entertainment,Sale,-6.00,
04/25/2025,04/27/2025,PAR TEE GOLF INC,Entertainment,Sale,-10.00,
04/26/2025,04/27/2025,TST* JACK BROWN'S JOINT -,Food & Drink,Sale,-22.58,
04/25/2025,04/27/2025,PUBLIX 067,Groceries,Sale,-39.82,
04/24/2025,04/27/2025,AMBROSIA TAVERNA,Food & Drink,Sale,-9.90,
04/24/2025,04/25/2025,PALMETTO PIG,Food & Drink,Sale,-12.36,
04/24/2025,04/25/2025,CVS/PHARMACY #00830,Health & Wellness,Sale,-12.73,
04/24/2025,04/25/2025,SUNOCO 0728799800,Gas,Sale,-13.79,
04/23/2025,04/24/2025,JJ TEA HOUSE LLC,Food & Drink,Sale,-19.60,
04/21/2025,04/22/2025,SUNOCO 0728799800,Gas,Sale,-35.28,
04/20/2025,04/21/2025,STACKBLITZ,Shopping,Sale,-20.00,
04/17/2025,04/18/2025,CVS/PHARMACY #00830,Health & Wellness,Sale,-26.11,
04/17/2025,04/18/2025,PUBLIX #1095,Groceries,Sale,-38.62,
04/17/2025,04/18/2025,LS GREENS BEVERAGES,Shopping,Sale,-42.09,
04/14/2025,04/15/2025,SONIC 83743,Food & Drink,Sale,-12.51,
04/13/2025,04/14/2025,NOMA BY AL AMIR,Food & Drink,Sale,-51.01,
04/12/2025,04/14/2025,SP OAK HALL CAP GOWN,Shopping,Return,3.62,
04/13/2025,04/14/2025,PUBLIX #1095,Groceries,Sale,-49.66,
04/11/2025,04/13/2025,CVS/PHARMACY #00830,Health & Wellness,Sale,-5.09,
04/09/2025,04/10/2025,PUBLIX #1095,Groceries,Sale,-51.18,
04/09/2025,04/10/2025,City of Columbia  SC,Travel,Sale,-3.02,
04/09/2025,04/09/2025,OPENAI,Shopping,Sale,-10.80,
04/08/2025,04/09/2025,CVS/PHARMACY #00830,Health & Wellness,Sale,-27.30,
04/07/2025,04/07/2025,Payment Thank You-Mobile,,Payment,473.69,
04/06/2025,04/07/2025,PUBLIX #1095,Groceries,Sale,-70.82,
04/03/2025,04/06/2025,CB18,Food & Drink,Sale,-10.00,
04/04/2025,04/06/2025,PALMETTO PIG,Food & Drink,Sale,-18.54,
04/03/2025,04/04/2025,SP OAK HALL CAP GOWN,Shopping,Sale,-103.77,
04/03/2025,04/04/2025,STONE RIVER,Food & Drink,Sale,-16.00,
04/03/2025,04/04/2025,EXXON PALMETTO ROADS #,Gas,Sale,-38.13,
04/03/2025,04/04/2025,LS GREENS BEVERAGES,Shopping,Sale,-22.66,
04/02/2025,04/03/2025,5 POINTS SALOON,Food & Drink,Sale,-12.31,
04/02/2025,04/02/2025,HELP.MAX.COM,Entertainment,Sale,-9.99,
03/31/2025,04/01/2025,FOOD LION #2801,Groceries,Sale,-43.60,
03/30/2025,04/01/2025,TST*CRAZY WINGS - LINCOL,Food & Drink,Sale,-15.17,
03/31/2025,04/01/2025,CVS/PHARMACY #00830,Health & Wellness,Sale,-9.71,
03/30/2025,03/31/2025,SAVAGE CRAFT ALE WORKS,Food & Drink,Sale,-45.95,
03/30/2025,03/31/2025,CB18,Food & Drink,Sale,-10.00,
03/29/2025,03/31/2025,CB18,Food & Drink,Sale,-18.38,
03/30/2025,03/30/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.60,
03/28/2025,03/30/2025,TST*VILLAGE IDIOT PIZZA,Food & Drink,Sale,-23.92,
03/29/2025,03/30/2025,TST* THE SALTY NUT CAFE,Food & Drink,Sale,-11.00,
03/27/2025,03/28/2025,PALMETTO PIG,Food & Drink,Sale,-12.36,
03/26/2025,03/27/2025,TST*JAKES ON DEVINE,Food & Drink,Sale,-5.30,
03/26/2025,03/27/2025,TST*JAKES ON DEVINE,Food & Drink,Sale,-4.30,
03/25/2025,03/25/2025,Payment Thank You-Mobile,,Payment,1443.32,
03/24/2025,03/25/2025,CK *OAK HILLS GOLF CLU,Entertainment,Sale,-12.00,
03/24/2025,03/25/2025,CK *OAK HILLS GOLF CLU,Entertainment,Sale,-9.00,
03/21/2025,03/24/2025,BEEZERS GOURMET SANDWICH,Food & Drink,Sale,-7.81,
03/23/2025,03/24/2025,PUBLIX #1095,Groceries,Sale,-47.70,
03/22/2025,03/23/2025,City of Columbia  SC,Travel,Sale,-3.02,
03/20/2025,03/23/2025,2LEVY@SPECTRUM CTR-S4,Food & Drink,Sale,-27.55,
03/22/2025,03/23/2025,LS GREENS BEVERAGES,Shopping,Sale,-17.27,
03/20/2025,03/23/2025,2LEVY@SPECTRUM CTR-S4,Food & Drink,Sale,-21.14,
03/20/2025,03/21/2025,STACKBLITZ,Shopping,Sale,-20.00,
03/20/2025,03/21/2025,Amazon.com*4G83W3MK3,Shopping,Sale,-25.46,
03/20/2025,03/21/2025,PUBLIX #1095,Groceries,Sale,-7.62,
03/18/2025,03/19/2025,CVS/PHARMACY #00830,Health & Wellness,Sale,-41.38,
03/18/2025,03/18/2025,STACKBLITZ,Shopping,Sale,-30.00,
03/16/2025,03/17/2025,1-800-FLOWERS.COM INC.,Shopping,Sale,-69.62,
03/16/2025,03/17/2025,TSUNAMI VISTA,Food & Drink,Sale,-36.90,
03/13/2025,03/16/2025,RICKS BAR KEY WEST,Food & Drink,Sale,-26.15,
03/13/2025,03/16/2025,RICKS BAR KEY WEST,Food & Drink,Sale,-42.11,
03/14/2025,03/16/2025,EXXON SUNSHINE 06,Gas,Sale,-28.86,
03/14/2025,03/16/2025,EXXON SUNSHINE 06,Gas,Sale,-6.40,
03/16/2025,03/16/2025,LYFT   *1 RIDE 03-14,Travel,Sale,-12.99,
03/14/2025,03/16/2025,SHELL OIL 50943800321,Gas,Sale,-32.75,
03/14/2025,03/16/2025,RICKS BAR KEY WEST,Food & Drink,Sale,-32.81,
03/13/2025,03/14/2025,THE CORNER GROCERY,Groceries,Sale,-46.74,
03/12/2025,03/14/2025,GFS STORE #0788,Groceries,Sale,-27.47,
03/12/2025,03/14/2025,ANGELINAS PIZZA,Food & Drink,Sale,-14.04,
03/12/2025,03/14/2025,RICKS BAR KEY WEST,Food & Drink,Sale,-29.21,
03/13/2025,03/14/2025,TST* FAT TUESDAY - KEY WE,Food & Drink,Sale,-27.58,
03/11/2025,03/13/2025,RICKS BAR KEY WEST,Food & Drink,Sale,-24.57,
03/12/2025,03/13/2025,PUBLIX SUPERMARKETS #1445,Groceries,Sale,-13.53,
03/12/2025,03/13/2025,SQ *PORTER VILLAGE 2,Shopping,Sale,-27.95,
03/11/2025,03/13/2025,RICKS BAR KEY WEST,Food & Drink,Sale,-24.63,
03/12/2025,03/13/2025,DANTE'S KEY WEST,Food & Drink,Sale,-26.89,
03/11/2025,03/13/2025,CIRCLE K # 09004,Groceries,Sale,-69.73,
03/11/2025,03/12/2025,WAWA 5362,Gas,Sale,-35.38,
03/10/2025,03/11/2025,CVS/PHARMACY #03119,Health & Wellness,Sale,-4.49,
03/10/2025,03/11/2025,SP ERIC EMANUEL,Shopping,Sale,-104.86,
03/10/2025,03/11/2025,CHIPOTLE 3963,Food & Drink,Sale,-12.85,
03/10/2025,03/11/2025,USPS PO 1109640260,Shopping,Sale,-2.30,
03/09/2025,03/10/2025,HWHR SPORTS BAR,Food & Drink,Sale,-21.12,
03/09/2025,03/10/2025,Amerant Bank Arena,Food & Drink,Sale,-10.86,
03/06/2025,03/09/2025,MARATHON PETRO237685,Gas,Sale,-33.68,
03/07/2025,03/07/2025,VIVID SEATS *FLORIDA P,Entertainment,Sale,-89.58,
03/06/2025,03/07/2025,SQ *CAROLINA BARBER SHOP,Personal,Sale,-31.25,
03/06/2025,03/07/2025,City of Columbia  SC,Travel,Sale,-1.15,
03/04/2025,03/06/2025,MOE'S 223,Food & Drink,Sale,-14.25,
03/04/2025,03/05/2025,Amazon.com*466GS7HG3,Shopping,Sale,-41.70,
03/04/2025,03/05/2025,CTLP*PINTEC VENDING,Food & Drink,Sale,-2.35,
03/02/2025,03/03/2025,TPA CENTRALCASH F 6502052,Food & Drink,Sale,-15.78,
03/01/2025,03/02/2025,AVIATIONPARKINGONLINEPMT,Travel,Sale,-36.00,
02/28/2025,03/02/2025,EXXON PALMETTO ROADS #,Gas,Sale,-36.87,
03/02/2025,03/02/2025,HELP.MAX.COM,Entertainment,Sale,-9.99,
03/01/2025,03/02/2025,SQ *GASPARILLA FESTIVAL O,Gifts & Donations,Sale,-8.00,
02/28/2025,02/28/2025,Payment Thank You-Mobile,,Payment,366.58,
02/28/2025,02/28/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.60,
02/27/2025,02/28/2025,PUBLIX #1095,Groceries,Sale,-27.50,
02/27/2025,02/28/2025,EXXON PALMETTO ROADS #,Gas,Sale,-11.88,
02/26/2025,02/27/2025,JJ TEA HOUSE LLC,Food & Drink,Sale,-20.23,
02/27/2025,02/27/2025,VIVID SEATS *MIAMI HEA,Entertainment,Sale,-84.32,
02/25/2025,02/26/2025,CK *OAK HILLS GOLF CLU,Entertainment,Sale,-10.00,
02/24/2025,02/26/2025,CK *OAK HILLS GOLF CLU,Entertainment,Sale,-40.00,
02/24/2025,02/25/2025,CVS/PHARMACY #00830,Health & Wellness,Sale,-25.14,
02/21/2025,02/23/2025,SUNOCO 0728799800,Gas,Sale,-21.34,
02/20/2025,02/23/2025,TIN ROOF ACQUISITION CO,Food & Drink,Sale,-8.00,
02/20/2025,02/23/2025,TIN ROOF ACQUISITION CO,Food & Drink,Sale,-8.00,
02/20/2025,02/21/2025,STACKBLITZ,Shopping,Sale,-20.00,
02/17/2025,02/19/2025,HIBACHI HOUSE,Food & Drink,Sale,-27.50,
02/18/2025,02/19/2025,CVS/PHARMACY #00830,Health & Wellness,Sale,-53.07,
02/15/2025,02/16/2025,PAR TEE GOLF INC,Entertainment,Sale,-6.00,
02/15/2025,02/16/2025,TST* CRAZY WINGS - LINCOL,Food & Drink,Sale,-24.08,
02/15/2025,02/16/2025,Amazon.com*AC6RD3QI3,Shopping,Sale,-18.90,
02/14/2025,02/14/2025,Payment Thank You-Mobile,,Payment,374.55,
02/13/2025,02/13/2025,UNIV OF SOUTH CAROLINA,Education,Sale,-15.00,
02/11/2025,02/12/2025,TST* CRAZY WINGS - LINCOL,Food & Drink,Sale,-10.22,
02/10/2025,02/11/2025,BWW COLUMBIA 368,Food & Drink,Sale,-71.23,
02/10/2025,02/10/2025,LYFT   *1 RIDE 02-08,Travel,Sale,-9.33,
02/09/2025,02/10/2025,PUBLIX #1095,Groceries,Sale,-25.56,
02/08/2025,02/09/2025,CVS/PHARMACY #00830,Health & Wellness,Sale,-14.57,
02/07/2025,02/09/2025,City of Columbia  SC,Travel,Sale,-4.15,
02/07/2025,02/09/2025,SUNOCO 0728799800,Gas,Sale,-5.38,
02/06/2025,02/07/2025,PAR TEE GOLF INC,Entertainment,Sale,-10.00,
02/04/2025,02/06/2025,GRUBHUB - UNIVERSITY OF S,Food & Drink,Sale,-12.96,
02/03/2025,02/04/2025,TST* CRAZY WINGS - LINCOL,Food & Drink,Sale,-18.69,
02/02/2025,02/03/2025,TST* TOUCHDOWNS,Food & Drink,Sale,-9.75,
02/02/2025,02/03/2025,Amazon web services,Personal,Sale,-0.43,
02/01/2025,02/03/2025,TST*JAKES ON DEVINE,Food & Drink,Sale,-8.50,
02/02/2025,02/02/2025,HELP.MAX.COM,Entertainment,Sale,-9.99,
01/30/2025,01/30/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.60,
01/26/2025,01/29/2025,JERSEY MIKES 7062,Food & Drink,Sale,-19.97,
01/28/2025,01/29/2025,City of Columbia  SC,Travel,Sale,-0.96,
01/28/2025,01/29/2025,SQ *CAROLINA BARBER SHOP,Personal,Sale,-30.00,
01/28/2025,01/29/2025,CVS/PHARMACY #00830,Health & Wellness,Sale,-20.51,
01/27/2025,01/28/2025,Payment Thank You-Mobile,,Payment,357.68,
01/25/2025,01/28/2025,EXXON PALMETTO ROADS #,Gas,Sale,-4.05,
01/24/2025,01/28/2025,TST*JAKES ON DEVINE,Food & Drink,Sale,-27.00,
01/25/2025,01/28/2025,CVS/PHARMACY #00830,Health & Wellness,Sale,-24.70,
01/24/2025,01/26/2025,PUBLIX #1095,Groceries,Sale,-18.43,
01/23/2025,01/26/2025,GREENS DISCOUNT BEVERA,Food & Drink,Sale,-11.11,
01/23/2025,01/24/2025,PALMETTO PIG,Food & Drink,Sale,-13.39,
01/22/2025,01/23/2025,NEW YORK STATE DMV,Bills & Utilities,Sale,-17.50,
01/20/2025,01/21/2025,CAROLINA CAFE,Food & Drink,Sale,-17.76,
01/20/2025,01/21/2025,TM *TICKETMASTER,Entertainment,Sale,-63.45,
01/19/2025,01/20/2025,HIBACHI HOUSE,Food & Drink,Sale,-42.25,
01/16/2025,01/19/2025,GREENS DISCOUNT BEVERA,Food & Drink,Sale,-10.00,
01/16/2025,01/19/2025,CK *OAK HILLS GOLF CLU,Entertainment,Sale,-24.00,
01/14/2025,01/16/2025,MOE'S 223,Food & Drink,Sale,-14.25,
01/15/2025,01/16/2025,PAYPAL *SANDBOXMODE,Shopping,Sale,-30.00,
01/12/2025,01/13/2025,SUNOCO 0728799800,Gas,Sale,-21.59,
01/12/2025,01/13/2025,TST* THE SALTY NUT CAFE,Food & Drink,Sale,-15.33,
01/12/2025,01/13/2025,TST* THE SALTY NUT CAFE,Food & Drink,Sale,-18.00,
01/11/2025,01/12/2025,EXXON TRAN CONVENIENCE,Gas,Sale,-35.62,
01/11/2025,01/12/2025,USC*ATHLETICS,Entertainment,Sale,-5.00,
01/09/2025,01/09/2025,Payment Thank You-Mobile,,Payment,130.16,
01/07/2025,01/08/2025,TIN CUP SOCIAL,Food & Drink,Sale,-11.83,
01/07/2025,01/08/2025,SPEEDWAY 07669,Gas,Sale,-30.61,
01/06/2025,01/07/2025,TARGET        00011957,Shopping,Sale,-16.73,
01/05/2025,01/07/2025,UNDERDOG,Entertainment,Sale,-10.00,
01/02/2025,01/05/2025,BWW WEBSTER 563,Food & Drink,Sale,-14.03,
01/02/2025,01/03/2025,Amazon web services,Personal,Sale,-16.77,
01/02/2025,01/02/2025,Payment Thank You-Mobile,,Payment,812.49,
01/02/2025,01/02/2025,HELP.MAX.COM,Entertainment,Sale,-9.99,
01/01/2025,01/02/2025,McDonalds 7660,Food & Drink,Sale,-20.20,
12/31/2024,01/01/2025,SPEEDWAY 07669,Gas,Sale,-30.11,
12/30/2024,12/31/2024,NYSDOS BUSINESS EXPRESS 5,Bills & Utilities,Sale,-235.00,
12/30/2024,12/31/2024,BEE NEWSPAPERS,Professional Services,Sale,-114.46,
12/30/2024,12/31/2024,LEE ENT ADVERTISING AP,Shopping,Sale,-374.60,
12/30/2024,12/30/2024,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.60,
12/29/2024,12/29/2024,Statement Credit Adjustme,Fees & Adjustments,Adjustment,69.95,
12/28/2024,12/29/2024,BYRNE DAIRY #148,Gas,Sale,-39.17,
12/28/2024,12/29/2024,BYRNE DAIRY #148,Gas,Sale,-30.26,
12/21/2024,12/23/2024,JUAN VALDEZ CAFE 93 AC,Shopping,Sale,-5.99,
12/21/2024,12/22/2024,TIN CUP SOCIAL,Food & Drink,Sale,-31.25,
12/19/2024,12/19/2024,Payment Thank You-Mobile,,Payment,320.34,
12/16/2024,12/18/2024,TST*JAKES ON DEVINE,Food & Drink,Sale,-17.20,
12/17/2024,12/18/2024,EXXON PALMETTO ROADS #,Gas,Sale,-3.46,
12/17/2024,12/18/2024,EXXON PALMETTO ROADS #,Gas,Sale,-17.35,
12/17/2024,12/18/2024,BP#9822917GO-MART #128,Gas,Sale,-30.81,
12/17/2024,12/18/2024,KONNICHIWA OF WINSTON SA,Food & Drink,Sale,-42.18,
12/16/2024,12/18/2024,TST*JAKES ON DEVINE,Food & Drink,Sale,-7.50,
12/13/2024,12/15/2024,CK *OAK HILLS GOLF CLU,Entertainment,Sale,-71.11,
12/13/2024,12/15/2024,THE MUFFLER SHOP OF COLUM,Automotive,Sale,-80.85,
12/13/2024,12/15/2024,SUNOCO 0728799800,Gas,Sale,-10.31,
12/12/2024,12/13/2024,TST*HOME TEAM BBQ - COLU,Food & Drink,Sale,-36.94,
12/12/2024,12/12/2024,Payment Thank You-Mobile,,Payment,547.67,
12/11/2024,12/12/2024,EXXON PALMETTO ROADS #,Gas,Sale,-2.63,
12/10/2024,12/11/2024,CVS/PHARMACY #00830,Health & Wellness,Sale,-12.19,
12/05/2024,12/08/2024,CB18,Food & Drink,Sale,-10.79,
12/06/2024,12/08/2024,TST* TOUCHDOWNS,Food & Drink,Sale,-7.40,
12/07/2024,12/08/2024,CHIPOTLE 1567,Food & Drink,Sale,-9.76,
12/06/2024,12/08/2024,PUBLIX #1095,Groceries,Sale,-27.78,
12/06/2024,12/08/2024,TST* TOUCHDOWNS,Food & Drink,Sale,-7.90,
12/07/2024,12/08/2024,COSTCO WHSE #1232,Shopping,Sale,-203.45,
12/06/2024,12/08/2024,EXXON PALMETTO ROADS #,Gas,Sale,-14.51,
12/05/2024,12/06/2024,PALMETTO PIG,Food & Drink,Sale,-13.39,
12/02/2024,12/03/2024,CVS/PHARMACY #00830,Health & Wellness,Sale,-6.25,
12/01/2024,12/02/2024,RPS COLUMBIA,Travel,Sale,-119.00,
12/02/2024,12/02/2024,HELP.MAX.COM,Entertainment,Sale,-9.99,
11/30/2024,12/01/2024,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.60,
11/28/2024,11/29/2024,TIN CUP SOCIAL,Food & Drink,Sale,-31.25,
11/23/2024,11/25/2024,PUBLIX #1095,Groceries,Sale,-3.06,
11/23/2024,11/24/2024,COOK OUT COLUMBIA.,Food & Drink,Sale,-8.46,
11/22/2024,11/22/2024,Payment Thank You-Mobile,,Payment,302.34,
11/20/2024,11/22/2024,FIVE GUYS SC 0140 QSR,Food & Drink,Sale,-22.35,
11/21/2024,11/22/2024,PALMETTO PIG,Food & Drink,Sale,-18.54,
11/19/2024,11/20/2024,CVS/PHARMACY #00830,Health & Wellness,Sale,-20.51,
11/18/2024,11/19/2024,IMAGE LINE US LLC,Shopping,Sale,-150.12,
11/16/2024,11/18/2024,CB18,Food & Drink,Sale,-18.38,
11/17/2024,11/18/2024,CVS/PHARMACY #00830,Health & Wellness,Sale,-7.64,
11/17/2024,11/18/2024,CHIPOTLE 2637,Food & Drink,Sale,-12.87,
11/15/2024,11/17/2024,TST*JAKES ON DEVINE,Food & Drink,Sale,-9.60,
11/15/2024,11/17/2024,CVS/PHARMACY #00830,Health & Wellness,Sale,-32.58,
11/14/2024,11/15/2024,SQ *CAROLINA BARBER SHOP,Personal,Sale,-32.50,
11/14/2024,11/15/2024,TST*JAKES ON DEVINE,Food & Drink,Sale,-8.50,
11/10/2024,11/11/2024,TST*BRICK &amp; SPOON - EB P,Food & Drink,Sale,-9.64,
11/10/2024,11/10/2024,Payment Thank You-Mobile,,Payment,536.77,
11/06/2024,11/08/2024,GREENS DISCOUNT BEVERA,Food & Drink,Sale,-33.90,
11/06/2024,11/07/2024,PUBLIX #1095,Groceries,Sale,-49.80,
11/04/2024,11/06/2024,MOE'S 223,Food & Drink,Sale,-8.79,
11/05/2024,11/06/2024,TST*STONERS PIZZA JOINT,Food & Drink,Sale,-41.50,
11/05/2024,11/06/2024,ADVANCE AUTO PARTS #5010,Automotive,Sale,-308.00,
11/05/2024,11/06/2024,ADVANCE AUTO PARTS #5010,Automotive,Return,23.54,
11/05/2024,11/06/2024,MOONEYHAN'S AUTO SERVICE,Automotive,Sale,-65.00,
11/04/2024,11/04/2024,Payment Thank You-Mobile,,Payment,467.38,
11/02/2024,11/04/2024,GREENS DISCOUNT BEVERA,Food & Drink,Sale,-8.09,
11/03/2024,11/04/2024,BREAKERS LIVE,Food & Drink,Sale,-11.68,
11/02/2024,11/04/2024,AMK UNIV OF SC S AND E CO,Food & Drink,Sale,-13.75,
11/02/2024,11/04/2024,AMK UNIV OF SC S AND E CO,Food & Drink,Sale,-19.80,
11/02/2024,11/03/2024,HELP.MAX.COM,Entertainment,Sale,-9.99,
11/01/2024,11/03/2024,FIVE GUYS SC 0225 QSR,Food & Drink,Sale,-20.04,
11/01/2024,11/03/2024,SUNOCO 0728799800,Gas,Sale,-18.74,
11/01/2024,11/03/2024,GLF*GOLDENHILLS,Entertainment,Sale,-14.00,
11/01/2024,11/03/2024,GLF*GOLDENHILLS,Entertainment,Sale,-60.00,
10/30/2024,11/01/2024,TST*JAKES ON DEVINE,Food & Drink,Sale,-9.60,
10/31/2024,11/01/2024,PALMETTO PIG,Food & Drink,Sale,-13.39,
10/30/2024,11/01/2024,GREENS DISCOUNT BEVERA,Food & Drink,Sale,-17.79,
10/30/2024,11/01/2024,TST*JAKES ON DEVINE,Food & Drink,Sale,-4.80,
10/29/2024,10/30/2024,CVS/PHARMACY #00830,Health & Wellness,Sale,-12.19,
10/29/2024,10/30/2024,WAL-MART #1183,Groceries,Sale,-24.55,
10/30/2024,10/30/2024,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.60,
10/27/2024,10/29/2024,TST*STONERS PIZZA JOINT,Food & Drink,Sale,-6.59,
10/27/2024,10/28/2024,CVS/PHARMACY #00830,Health & Wellness,Sale,-20.51,
10/26/2024,10/28/2024,JERSEY MIKES 7062,Food & Drink,Sale,-19.42,
10/26/2024,10/28/2024,TST*JAKES ON DEVINE,Food & Drink,Sale,-15.10,
10/27/2024,10/28/2024,CHIPOTLE 3661,Food & Drink,Sale,-14.22,
10/27/2024,10/28/2024,PUBLIX #1095,Groceries,Sale,-83.82,
10/26/2024,10/27/2024,EXXON PALMETTO ROADS #,Gas,Sale,-4.58,
10/24/2024,10/27/2024,CB18,Food & Drink,Sale,-12.58,
10/25/2024,10/27/2024,CB18,Food & Drink,Sale,-14.58,
10/26/2024,10/27/2024,TST* THE SALTY NUT CAFE,Food & Drink,Sale,-20.00,
10/23/2024,10/23/2024,Payment Thank You-Mobile,,Payment,364.78,
10/22/2024,10/23/2024,CVS/PHARMACY #00830,Health & Wellness,Sale,-20.50,
10/21/2024,10/23/2024,MOE'S 223,Food & Drink,Sale,-8.79,
10/20/2024,10/21/2024,CK *OAK HILLS GOLF CLU,Entertainment,Sale,-10.00,
10/18/2024,10/20/2024,SONIC 83743,Food & Drink,Sale,-16.24,
10/19/2024,10/20/2024,TST* CRAZY WINGS - LINCOL,Food & Drink,Sale,-18.68,
10/19/2024,10/20/2024,EXXON PALMETTO ROADS #,Gas,Sale,-9.89,
10/18/2024,10/20/2024,TEEQUEST,Entertainment,Sale,-90.00,
10/17/2024,10/18/2024,PALMETTO PIG,Food & Drink,Sale,-13.39,
10/16/2024,10/18/2024,TST*JAKES ON DEVINE,Food & Drink,Sale,-6.30,
10/17/2024,10/18/2024,PAR TEE GOLF INC,Entertainment,Sale,-12.00,
10/16/2024,10/18/2024,GREENS DISCOUNT BEVERA,Food & Drink,Sale,-17.79,
10/16/2024,10/18/2024,TST*JAKES ON DEVINE,Food & Drink,Sale,-11.70,
10/17/2024,10/18/2024,SQ *CAROLINA BARBER SHOP,Personal,Sale,-34.50,
10/16/2024,10/17/2024,SC STATE FAIR - ETIX,Entertainment,Sale,-20.00,
10/15/2024,10/16/2024,SQ *ASA-PIZZA,Entertainment,Sale,-8.00,
10/15/2024,10/16/2024,SQ *SOUTH CAROLINA STATE,Travel,Sale,-10.00,
10/14/2024,10/15/2024,CVS/PHARMACY #00830,Health & Wellness,Sale,-18.10,
10/13/2024,10/15/2024,FIVE GUYS SC 0140 QSR,Food & Drink,Sale,-22.25,
10/12/2024,10/13/2024,PAR TEE GOLF INC,Entertainment,Sale,-10.00,
10/09/2024,10/11/2024,REPUBLIC BIERGARTEN AND K,Food & Drink,Sale,-6.42,
10/10/2024,10/11/2024,PALMETTO PIG,Food & Drink,Sale,-13.39,
10/09/2024,10/11/2024,REPUBLIC BIERGARTEN AND K,Food & Drink,Sale,-6.42,
10/09/2024,10/10/2024,CVS/PHARMACY #00830,Health & Wellness,Sale,-9.71,
